Name        Id          Mean(keV)      Sigma(keV)     Mean+2Sigma    Mean+3Sigma    Mean+5Sigma    
Ge1_20      33554451    57.0421        5.41855        67.8792        73.2978        84.1349        
Ge1_21      33554452    98.9035        4.58712        108.078        112.665        121.839        
Ge1_22      33554453    76.8766        5.32417        87.525         92.8491        103.497        
Ge1_23      33554454    77.0069        4.39227        85.7915        90.1837        98.9683        
Ge1_24      33554455    65.8179        5.45528        76.7285        82.1837        93.0943        
Ge1_25      33554456    65.9603        5.01394        75.9882        81.0021        91.03          
Ge1_26      33554457    123.783        6.96486        137.713        144.678        158.607        
Ge1_27      33554458    106.054        5.04897        116.152        121.201        131.299        
Ge1_28      33554459    79.3873        5.72708        90.8415        96.5686        108.023        
Ge1_29      33554460    156.27         5.35486        166.98         172.335        183.045        
Ge1_30      33554461    153.753        5.92761        165.608        171.536        183.391        
Ge1_31      33554462    179.181        5.51803        190.217        195.735        206.771        
Ge1_32      33554463    148.674        5.76495        160.204        165.969        177.499        
Ge2_1       50331648    189.087        6.8932         202.873        209.766        223.553        
Ge2_2       50331649    253.097        6.39442        265.886        272.28         285.069        
Ge2_3       50331650    165.345        6.82183        178.989        185.81         199.454        
Ge2_4       50331651    207.822        6.2741         220.37         226.644        239.192        
Ge2_5       50331652    216.94         6.55951        230.059        236.618        249.737        
Ge2_6       50331653    194.022        5.48127        204.985        210.466        221.429        
Ge2_7       50331654    181.191        6.33967        193.871        200.21         212.89         
Ge2_8       50331655    224.577        5.70506        235.987        241.692        253.102        
Ge2_9       50331656    205.335        8.07642        221.488        229.564        245.717        
Ge2_10      50331657    234.231        6.96776        248.166        255.134        269.069        
Ge2_11      50331658    162.052        7.2196         176.491        183.711        198.15         
Ge2_12      50331659    205.461        7.33219        220.125        227.457        242.122        
Ge2_13      50331660    170.765        8.15926        187.083        195.242        211.561        
Ge2_14      50331661    164.365        7.61385        179.593        187.206        202.434        
Ge2_15      50331662    186.354        7.07423        200.503        207.577        221.726        
Ge2_16      50331663    216.303        7.45697        231.217        238.674        253.588        
Ge2_17      50331664    271.961        8.88718        289.735        298.622        316.397        
Ge2_18      50331665    285.347        8.97389        303.295        312.268        330.216        
Ge2_19      50331666    261.257        8.38638        278.03         286.417        303.189        
Ge2_20      50331667    264.465        9.20127        282.868        292.069        310.471        
Ge2_21      50331668    265.085        8.57677        282.239        290.815        307.969        
Ge2_22      50331669    318.494        8.43404        335.362        343.796        360.664        
Ge2_23      50331670    278.071        8.49502        295.061        303.556        320.546        
Ge2_24      50331671    253.188        8.39206        269.972        278.364        295.148        
Ge2_25      50331672    289.015        9.72947        308.474        318.203        337.662        
Ge2_26      50331673    334.621        10.2864        355.193        365.48         386.053        
Ge2_27      50331674    288.593        9.96512        308.523        318.488        338.418        
Ge2_28      50331675    352.177        10.7722        373.721        384.493        406.038        
Ge2_29      50331676    323.197        9.21495        341.627        350.842        369.272        
Ge2_30      50331677    392.83         9.34245        411.515        420.858        439.543        
Ge2_31      50331678    356.832        9.72505        376.282        386.008        405.458        
Ge2_32      50331679    411.072        9.10841        429.289        438.397        456.614        
