Name        Id          Mean(keV)   Sigma       3Sigma      5Sigma      
Ge2_13      50331660    180.887     8.14446     24.4334     40.7223     
Ge2_14      50331661    177.423     7.59578     22.7873     37.9789     
Ge2_15      50331662    189.555     7.06923     21.2077     35.3462     
Ge2_16      50331663    229.402     7.43447     22.3034     37.1724     
Ge2_17      50331664    287.088     8.85597     26.5679     44.2799     
Ge2_18      50331665    289.736     8.96149     26.8845     44.8075     
Ge2_19      50331666    273.518     8.3627      25.0881     41.8135     
Ge2_20      50331667    276.612     9.17414     27.5224     45.8707     
Ge2_21      50331668    271.595     8.56505     25.6951     42.8252     
Ge2_22      50331669    328.075     8.40665     25.2199     42.0332     
Ge2_23      50331670    96.1973     8.01707     24.0512     40.0854     
Ge2_24      50331671    266.827     8.3671      25.1013     41.8355     
Ge2_25      50331672    301.788     9.70505     29.1152     48.5253     
Ge2_26      50331673    336.294     10.2766     30.8298     51.3831     
Ge2_27      50331674    301.629     9.93559     29.8068     49.678      
Ge2_28      50331675    348.624     10.7651     32.2952     53.8254     
Ge2_29      50331676    336.566     9.18914     27.5674     45.9457     
Ge2_30      50331677    376.525     9.36299     28.089      46.815      
Ge2_31      50331678    366.964     9.69823     29.0947     48.4911     
Ge2_32      50331679    400.012     9.11363     27.3409     45.5681     
